3,AUTI3,Automates programmables I,5,48
4,AGRI4,Administration et gestion des réseaux,2,24
4,AVAI4,"Acquisition, Visualisation et Analyse",5,84
4,EMBI4,Systèmes embarqués,5,60
4,IMGI4,Traitement et analyse d'images I,1,12
4,IOTI4,Réseaux IOT,2,36
4,RLII4,Réseaux Locaux Industriels,5,48
5,AUTI5,Automates programmables II,2,24
5,IEII5,Interfaçage d'équipements industriels,2,16
5,IMGI5,Traitement et analyse d'images II,2,24
5,PIAI5,Projet Intelligence artificielle,2,28
5,PRJI5,Projet transversal,2,24
5,RELI5,"Electronique, mécanique et programmation appliquée à la robotique humanoïde",3,40
5,ROBI5,Robotique,2,24
5,SECI5,Eléments de sécurité informatique,2,24
5,STRI5,Systèmes d'exploitation temps réel,2,24
6,ETEI6,Epreuve terminale,30,350
